season,week,celebrity_name,p_mean,p_sd,p_ci_low,p_ci_high,rel_unc
1,1,John O'Hurley,0.20565279,0.009062934,0.19021204,0.21464998,0.11883104
1,2,John O'Hurley,0.0021558749,0.00032342633,0.0017370862,0.0025618644,0.3825724
1,3,John O'Hurley,0.1435606,0.008633896,0.12984848,0.15551156,0.17876129
1,4,John O'Hurley,0.03420656,0.005304551,0.028400507,0.043135446,0.4307635
1,5,John O'Hurley,0.42191538,0.032376774,0.37591553,0.46078238,0.20114662
1,6,John O'Hurley,0.49271342,0.02821125,0.46185592,0.5377116,0.15395501
1,1,Kelly Monaco,0.1565612,0.0138033675,0.1351721,0.1727968,0.24031946
1,2,Kelly Monaco,0.0025972151,0.00037703727,0.0021176082,0.0031298923,0.3897575
1,3,Kelly Monaco,0.49069926,0.030880393,0.45955577,0.5310961,0.1457926
1,4,Kelly Monaco,0.023305211,0.0019929348,0.020419052,0.025664272,0.2250664
1,5,Kelly Monaco,0.31165087,0.028318502,0.2694466,0.34427708,0.24010994
1,6,Kelly Monaco,0.50728655,0.028211273,0.46228838,0.5381442,0.14953244
1,1,Evander Holyfield,0.18352698,0.017454179,0.16236816,0.205208,0.2334253
1,2,Evander Holyfield,0.98898256,0.00096318393,0.9877407,0.9901292,0.0024150854
1,3,Evander Holyfield,0.10399261,0.012112148,0.08959915,0.11960348,0.28852367
1,1,Rachel Hunter,0.1871292,0.02222976,0.16465358,0.22714399,0.33394256
1,2,Rachel Hunter,0.0026537844,0.0002886535,0.0023036588,0.0029904812,0.2588087
1,3,Rachel Hunter,0.12457389,0.009722002,0.11528152,0.13804708,0.18274747
1,4,Rachel Hunter,0.00057748216,8.934597e-05,0.0004972796,0.0007442911,0.42773882
1,1,Joey McIntyre,0.120546944,0.01838359,0.1012053,0.15381683,0.43644023
1,2,Joey McIntyre,0.0036011962,0.0004827646,0.0030388117,0.0042636427,0.3401178
1,3,Joey McIntyre,0.13717364,0.012583902,0.11899067,0.15209258,0.24131392
1,4,Joey McIntyre,0.94191074,0.00694099,0.9306927,0.94995224,0.020447344
1,5,Joey McIntyre,0.26643378,0.026077433,0.23384173,0.31298983,0.2970648
1,1,Trista Sutter,0.14658292,0.008718083,0.13582833,0.16044828,0.16795921
1,2,Trista Sutter,9.38177e-06,2.4559124e-06,6.3802595e-06,1.1948093e-05,0.5934736
2,1,Tatum O'Neal,0.011615106,0.00211858,0.00880303,0.014255486,0.4694281
2,2,Tatum O'Neal,0.00010933756,2.1057065e-05,8.3707324e-05,0.00013765797,0.493432
2,1,Tia Carrere,0.008282695,0.0013200215,0.006321188,0.010025205,0.4471995
2,2,Tia Carrere,0.011578679,0.0027374215,0.009095238,0.015769597,0.5764353
2,3,Tia Carrere,6.37655e-05,1.0954264e-05,4.456909e-05,7.606403e-05,0.4939182
2,4,Tia Carrere,0.20723523,0.026668109,0.15634662,0.23073825,0.35897195
2,5,Tia Carrere,0.021391973,0.0018541227,0.018373724,0.023254748,0.22817084
2,1,George Hamilton,0.010189268,0.0017257853,0.007785631,0.012445265,0.45730808
2,2,George Hamilton,0.009027947,0.00074265175,0.007983194,0.01003753,0.22755301
2,3,George Hamilton,7.248383e-05,6.822599e-06,6.331984e-05,8.1461665e-05,0.25028783
2,4,George Hamilton,0.15809664,0.005892413,0.15142292,0.16852646,0.10818407
2,5,George Hamilton,0.097902715,0.009881508,0.080478966,0.110842995,0.3101449
2,6,George Hamilton,0.033267938,0.007316491,0.023489393,0.042039227,0.55758893
2,1,Lisa Rinna,0.01083244,0.0007856048,0.010037721,0.012210317,0.20056385
2,2,Lisa Rinna,0.010030401,0.0022654133,0.0077306693,0.013373663,0.562589
2,3,Lisa Rinna,6.3726366e-05,7.325149e-06,5.4233948e-05,7.4276744e-05,0.31451342
2,4,Lisa Rinna,0.15432791,0.01948303,0.12806149,0.17835473,0.32588553
2,5,Lisa Rinna,0.083563685,0.014200961,0.059122186,0.0993962,0.48195592
2,6,Lisa Rinna,0.12837611,0.011258102,0.10849614,0.14172602,0.25884783
2,7,Lisa Rinna,0.016126212,0.0018754647,0.01438634,0.019574512,0.3217229
2,1,Stacy Keibler,0.007805879,0.0008258557,0.006790807,0.009205736,0.3093731
2,2,Stacy Keibler,0.011330631,0.0037422483,0.007249782,0.01596983,0.7695995
2,3,Stacy Keibler,4.4013377e-05,4.781481e-06,3.5122124e-05,4.8380425e-05,0.30123344
2,4,Stacy Keibler,0.1277369,0.006979285,0.12011987,0.13769884,0.13761862
2,5,Stacy Keibler,0.09098037,0.009701422,0.07593915,0.106240034,0.33304858
2,6,Stacy Keibler,0.195925,0.023052635,0.16327554,0.22087711,0.29399806
2,7,Stacy Keibler,0.15605061,0.014245614,0.13407624,0.17332932,0.25154075
